AllianceCaCode,ScientificName,Provisional,ClassifLevel,PrimaryLifeform,DateAdded
45.141.00,Calamagrostis muiriana,,Alliance,Herb,11/1/95
41.190.00,Calamagrostis nutkaensis,,Alliance,Herb,11/1/95
41.211.00,Calamagrostis purpurascens,,Alliance,Herb,9/1/09
45.416.00,Camassia quamash [inactive],,Alliance,Herb,9/1/09
45.168.00,"Carex (aquatilis, lenticularis) [inactive]",,Alliance,Herb,9/1/09
45.142.00,Carex barbarae,,Alliance,Herb,9/1/09
45.150.00,Carex breweri,,Alliance,Herb,9/1/09
45.160.00,Carex congdonii,Provisional,Alliance,Herb,9/1/09
45.165.00,Carex densa [inactive],Provisional,Alliance,Herb,9/1/09
45.169.00,Carex douglasii [inactive],Provisional,Alliance,Herb,9/1/09
45.140.00,Carex filifolia,,Alliance,Herb,11/1/95
45.145.00,Carex helleri,,Alliance,Herb,9/1/09
45.115.00,Carex heteroneura,Provisional,Alliance,Herb,9/1/09
45.175.00,Carex integra [inactive],Provisional,Alliance,Herb,9/1/09
45.162.00,Carex jonesii,,Alliance,Herb,9/1/09
45.166.00,Carex lasiocarpa,Provisional,Alliance,Herb,9/1/09
45.178.00,Carex limosa [inactive],,Alliance,Herb,9/1/09
45.179.00,Carex luzulina [inactive],Provisional,Alliance,Herb,9/1/09
45.181.00,Carex microptera [inactive],Provisional,Alliance,Herb,9/1/09
45.130.00,Carex nebrascensis [inactive],,Alliance,Herb,11/1/95
45.164.00,Carex nigricans,Provisional,Alliance,Herb,9/1/09
45.182.00,Carex nudata,,Alliance,Herb,9/1/09
45.183.00,Carex obnupta  [inactive],,Alliance,Herb,9/1/09
45.184.00,"Carex (pansa, praegracilis) [inactive]",,Alliance,Herb,9/1/09
45.120.00,Carex scopulorum [inactive],,Alliance,Herb,9/1/09
45.180.00,Carex serratodens [inactive],Provisional,Alliance,Herb,9/1/09
45.190.00,Carex simulata [inactive],,Alliance,Herb,9/1/09
45.155.00,Juncus drummondii,,Alliance,Herb,9/1/09
45.185.00,Carex straminiformis,Provisional,Alliance,Herb,9/1/09
45.186.00,Carex subnigricans,,Alliance,Herb,9/1/09
52.121.00,"Carex (utriculata, vesicaria) [inactive]",,Alliance,Herb,11/1/95
21.200.00,Mesembryanthemum spp. – Carpobrotus spp.,,Semi-Natural Alliance,Herb,11/1/95
42.042.00,"Centaurea (solstitialis, melitensis) [inactive]",,Semi-Natural Alliance,Herb,9/1/09
42.043.00,Centaurea (virgata),Provisional,Semi-Natural Alliance,Herb,9/1/09
44.160.00,Centromadia (pungens),,Alliance,Herb,9/1/09
42.100.00,Cirsium fontinale [inactive],,Alliance,Herb,9/1/09
45.311.00,Cistanthe (umbellata) – Gayophytum (diffusum),,Alliance,Herb,9/1/09
45.556.00,Conium maculatum – Foeniculum vulgare,,Semi-Natural Alliance,Herb,9/1/09
42.070.00,"Cortaderia (jubata, selloana)",,Semi-Natural Alliance,Herb,11/1/95
46.100.00,Cressa truxillensis – Distichlis spicata,,Alliance,Herb,9/1/09
42.044.00,Cynosurus echinatus – Arrhenatherum elatius,,Semi-Natural Alliance,Herb,9/1/09
41.050.00,Danthonia californica [inactive],,Alliance,Herb,11/1/95
41.051.00,Danthonia intermedia,Provisional,Alliance,Herb,9/1/09
51.200.00,Darlingtonia californica,,Alliance,Herb,11/1/95
44.161.00,Deinandra fasciculata,,Alliance,Herb,9/1/09
41.220.00,Deschampsia cespitosa [inactive],,Alliance,Herb,11/1/95
22.100.00,Dicoria canescens – Abronia villosa [inactive],,Alliance,Herb,11/1/95
41.200.00,Distichlis spicata [inactive],,Alliance,Herb,11/1/95
52.115.00,Dulichium arundinaceum,Provisional,Alliance,Herb,9/1/09
45.231.00,Eleocharis acicularis [inactive],,Alliance,Herb,9/1/09
45.230.00,Eleocharis macrostachya [inactive],,Alliance,Herb,9/1/09
45.220.00,Eleocharis quinqueflora [inactive],,Alliance,Herb,9/1/09
41.630.00,Elymus glaucus Montane,,Alliance,Herb,9/1/09
41.650.00,"Elymus (elymoides, multisetus) [inactive]",Provisional,Alliance,Herb,9/1/09
38.120.00,Ericameria discoidea – Hulsea algida,,Alliance,Herb,9/1/09
42.004.00,Eryngium aristulatum,,Alliance,Herb,9/1/09
43.200.00,Eschscholzia (californica) – Lupinus (nanus),,Alliance,Herb,9/1/09
91.170.00,Festuca brachyphylla,,Alliance,Herb,9/1/09
41.250.00,Festuca idahoensis [inactive],,Alliance,Herb,11/1/95
41.255.00,Festuca rubra [inactive],,Alliance,Herb,9/1/09
52.500.00,Frankenia salina [inactive],,Alliance,Herb,9/1/09
41.222.00,"Glyceria (elata, striata) [inactive]",,Alliance,Herb,9/1/09
41.223.00,Glyceria ×occidentalis [inactive],Provisional,Alliance,Herb,9/1/09
52.206.00,"Grindelia (camporum, stricta) [inactive]",Provisional,Alliance,Herb,9/1/09
42.050.00,Holcus lanatus – Anthoxanthum odoratum,,Semi-Natural Alliance,Herb,9/1/09
42.052.00,Hordeum brachyantherum [inactive],,Alliance,Herb,9/1/09
52.117.00,"Hydrocotyle (ranunculoides, umbellata)",,Alliance,Herb,9/1/09
45.401.00,Iris missouriensis,Provisional,Alliance,Herb,9/1/09
52.109.00,"Isoetes (bolanderi, echinospora, howellii, nuttallii, occidentalis)",Provisional,Alliance,Herb,11/1/95
45.562.00,"Juncus arcticus (var. balticus, mexicanus)",,Alliance,Herb,9/1/09
45.563.00,Juncus cooperi [inactive],,Alliance,Herb,9/1/09
45.561.00,Juncus effusus [inactive],,Alliance,Herb,9/1/09
45.569.00,Juncus lescurii [inactive],,Alliance,Herb,9/1/09
45.567.00,Juncus nevadensis [inactive],,Alliance,Herb,9/1/09
45.568.00,"Juncus (oxymeris, xiphioides) [inactive]",Provisional,Alliance,Herb,9/1/09
45.566.00,Juncus parryi,,Alliance,Herb,9/1/09
45.564.00,Juncus patens [inactive],Provisional,Alliance,Herb,9/1/09
91.115.00,Kobresia myosuroides,,Alliance,Herb,9/1/09
44.108.00,Lasthenia californica – Plantago erecta – Vulpia microstachys,,Alliance,Herb,9/1/09
44.119.00,Lasthenia fremontii – Distichlis spicata,,Alliance,Herb,9/1/09
42.007.00,Lasthenia fremontii – Downingia (bicornuta),,Alliance,Herb,9/1/09
44.140.00,Lasthenia glaberrima – Eleocharis macrostachya,,Alliance,Herb,9/1/09
42.002.00,Layia fremontii – Achyrachaena mollis,,Alliance,Herb,9/1/09
52.105.00,Lemna (minor) and Relatives,Provisional,Alliance,Herb,11/1/95
52.205.00,Lepidium latifolium – Lactuca serriola,,Semi-Natural Alliance,Herb,9/1/09
41.020.00,Leymus cinereus [inactive],,Alliance,Herb,11/1/95
41.265.00,Leymus condensatus,,Alliance,Herb,9/1/09
41.260.00,Leymus mollis,,Alliance,Herb,9/1/09
41.080.00,Leymus triticoides [inactive],,Alliance,Herb,11/1/95
41.321.00,Lolium perenne,,Semi-Natural Alliance,Herb,9/1/09
52.230.00,Lotus unifoliolatus,Provisional,Alliance,Herb,9/1/09
52.118.00,"Ludwigia (hexapetala, peploides) – Eichhornia crassipes",,Semi-Natural Alliance,Herb,9/1/09
41.275.00,Melica torreyana [inactive],Provisional,Alliance,Herb,9/1/09
44.111.00,Mimulus (guttatus) [inactive],,Alliance,Herb,9/1/09
44.113.00,Montia fontana – Sidalcea calycosa,,Alliance,Herb,9/1/09
41.276.00,Muhlenbergia filiformis [inactive],Provisional,Alliance,Herb,9/1/09
41.277.00,Muhlenbergia richardsonis [inactive],Provisional,Alliance,Herb,9/1/09
41.278.00,Muhlenbergia rigens,,Alliance,Herb,9/1/09
41.140.00,Nassella cernua [inactive],Provisional,Alliance,Herb,11/1/95
41.110.00,Nassella lepida [inactive],Provisional,Alliance,Herb,11/1/95
41.150.00,Nassella pulchra [inactive],,Alliance,Herb,11/1/95
52.110.00,Nuphar lutea,Provisional,Alliance,Herb,11/1/95
52.119.00,Oenanthe sarmentosa [inactive],,Alliance,Herb,9/1/09
45.418.00,Oxypolis occidentalis,,Alliance,Herb,9/1/09
91.122.00,Oxyria digyna,Provisional,Alliance,Herb,9/1/09
42.095.00,Panicum urvilleanum [inactive],,Alliance,Herb,9/1/09
42.085.00,Pennisetum setaceum – Pennisetum ciliare,,Semi-Natural Alliance,Herb,9/1/09
45.414.00,Penstemon heterodoxus,Provisional,Alliance,Herb,9/1/09
45.415.00,Penstemon newberryi,,Alliance,Herb,9/1/09
42.207.00,Polygonum lapathifolium – Xanthium strumarium,,Alliance,Herb,9/1/09
42.051.00,Phalaris aquatica – Phalaris arundinacea,,Semi-Natural Alliance,Herb,9/1/09
91.123.00,Phlox covillei,,Alliance,Herb,9/1/09
91.150.00,Phlox pulvinata,,Alliance,Herb,9/1/09
41.061.00,Phragmites australis [inactive],,Alliance,Herb,11/1/95
43.300.00,Plagiobothrys nothofulvus,,Alliance,Herb,9/1/09
41.610.00,Pleuraphis jamesii,,Alliance,Herb,9/1/09
41.030.00,Pleuraphis rigida,,Alliance,Herb,11/1/95
42.060.00,Poa pratensis [inactive],,Semi-Natural Alliance,Herb,11/1/95
41.180.00,Poa secunda [inactive],,Alliance,Herb,11/1/95
41.040.00,Festuca idahoensis – Pseudoroegneria spicata – Poa secunda,,Alliance,Herb,8/7/20
41.225.00,Ptilagrostis kingii,,Alliance,Herb,9/1/09
52.202.00,"Ruppia (cirrhosa, maritima)",,Alliance,Herb,11/1/95
52.215.00,Sarcocornia pacifica (Salicornia depressa),,Alliance,Herb,11/1/95
91.124.00,Saxifraga nidifica,Provisional,Alliance,Herb,9/1/09
91.125.00,Saxifraga tolmiei,Provisional,Alliance,Herb,9/1/09
52.122.00,Schoenoplectus acutus [inactive],,Alliance,Herb,9/1/09
52.111.00,Schoenoplectus americanus – Schoenoplectus pungens,,Alliance,Herb,9/1/09
52.114.00,Schoenoplectus californicus [inactive],,Alliance,Herb,9/1/09
52.113.00,Scirpus microcarpus [inactive],,Alliance,Herb,9/1/09
43.400.00,Sedum spathulifolium,Provisional,Alliance,Herb,9/1/09
42.062.00,"Selaginella (bigelovii, wallacei)",,Alliance,Herb,9/1/09
45.419.00,Senecio triangularis [inactive],,Alliance,Herb,9/1/09
52.210.00,Sesuvium verrucosum,,Alliance,Herb,9/1/09
45.420.00,Solidago canadensis,Provisional,Alliance,Herb,9/1/09
52.010.00,Sparganium (angustifolium),,Alliance,Herb,11/1/95
41.070.00,"Spartina (alterniflora, densiflora)",,Semi-Natural Alliance,Herb,9/1/09
52.020.00,Spartina foliosa,,Alliance,Herb,9/1/09
52.030.00,Spartina gracilis [inactive],,Alliance,Herb,9/1/09
41.010.00,Sporobolus airoides [inactive],,Alliance,Herb,11/1/95
52.107.00,Stuckenia (pectinata) – Potamogeton spp.,,Alliance,Herb,11/1/95
41.600.00,Swallenia alexandrae [inactive],,Special Stands,Herb,9/1/09
45.171.00,Torreyochloa pallida [inactive],,Alliance,Herb,9/1/09
45.135.00,Triantha occidentalis – Narthecium californicum,,Alliance,Herb,9/1/09
45.426.00,Trifolium longipes [inactive],Provisional,Alliance,Herb,9/1/09
42.005.00,Trifolium variegatum,,Alliance,Herb,9/1/09
52.050.00,"Typha (angustifolia, domingensis, latifolia)",,Alliance,Herb,11/1/95
45.423.00,Veratrum californicum [inactive],,Alliance,Herb,9/1/09
52.213.00,Spergularia marina,Provisional,Alliance,Herb,2/22/13
45.191.00,Carex echinata [inactive],,Alliance,Herb,3/7/13
33.090.00,Fouquieria splendens [inactive],,Alliance,Tree,11/1/95
36.210.00,Isocoma acradenia [inactive],Provisional,Alliance,Shrub,9/5/13
33.325.00,Fallugia paradoxa,Provisional,Alliance,Shrub,2/3/17
36.220.00,Atriplex parryi [inactive],Provisional,Alliance,Shrub,6/14/16
33.375.00,Mortonia utahensis,,Alliance,Shrub,12/12/16
22.110.00,Wislizenia refracta [inactive],,Special Stands,Herb,
52.160.00,Cladium californicum,,Alliance,Herb,12/30/14
45.260.00,"Eleocharis (palustris, rostellata) Alkaline-Saline",,Alliance,Herb,12/30/14
42.230.00,"Heterotheca (oregona, sessiliflora)",,Alliance,Herb,12/30/14
41.131.00,Bromus carinatus – Elymus glaucus,,Alliance,Herb,12/7/16
61.590.00,Psorothamnus fremontii – Psorothamnus polydenius,,Alliance,Shrub,12/12/16
33.305.00,Amphipappus fremontii – Salvia funerea,,Alliance,Shrub,6/10/16
,Arctostaphylos nevadensis [inactive],Provisional,Alliance,Shrub,
61.218.00,Salix boothii – Salix geyeriana – Salix lutea,,Alliance,Shrub,5/28/19
42.640.00,Allium spp. – Streptanthus spp. – Hesperolinon spp. Serpentinite,,Alliance,Herb,8/30/21
32.230.00,"Corethrogyne filaginifolia – Eriogonum (elongatum, nudum)",,Alliance,Herb,4/13/16
41.279.00,Poa secunda – Muhlenbergia richardsonis – Carex douglasii,,Alliance,Herb,7/21/16
41.195.00,Calamagrostis scopulorum – Andropogon glomeratus,,Alliance,Herb,4/13/16
33.055.00,Cylindropuntia acanthocarpa / Pleuraphis rigida,,Alliance,Shrub,4/13/16
87.240.00,Pinus muricata – Pinus radiata,,Alliance,Tree,6/20/16
88.501.00,Abies concolor Dry,,Alliance,Tree,5/9/16
33.295.00,Aloysia wrightii – Pericome caudata – Ephedra nevadensis,Provisional,Alliance,Non-vascular,6/10/16
61.565.00,Celtis laevigata var. reticulata – Rhus trilobata,Provisional,Alliance,Shrub,6/10/16
22.310.00,Chorizanthe rigida – Geraea canescens Desert Pavement,,Alliance,Herb,6/10/16
36.130.00,Monolopia (lanceolata) – Coreopsis (calliopsidea),,Alliance,Herb,6/10/16
33.265.00,Peucephyllum schottii – Pleurocoronis pluriseta [pending],,Alliance,Shrub,6/10/16
79.300.00,Phoenix dactylifera – Washingtonia filifera,,Semi-Natural Alliance,Tree,6/10/16
41.100.00,"Sphaeralcea (ambigua, coccinea, parvifolia)",,Alliance,Herb,6/10/16
63.540.00,Vitis arizonica – Vitis girdiana,,Alliance,Shrub,6/10/16
42.630.00,Dudleya cymosa – Dudleya lanceolata / Lichen – Moss,,Alliance,Herb,6/10/16
61.216.00,Salix gooddingii – Salix laevigata,,Alliance,Tree,7/20/16
42.081.00,Phragmites australis – Arundo donax,,Semi-Natural Alliance,Herb,1/24/17
43.120.00,Dudleya greenei – Dudleya spp. Succulent Scrub,,Alliance,Herb,10/5/16
77.100.00,Quercus tomentella – Lyonothamnus floribundus,,Alliance,Tree,10/27/16
32.036.00,Eriogonum arborescens – Eriogonum grande,,Alliance,Shrub,12/2/16
37.912.00,Prunus ilicifolia – Heteromeles arbutifolia – Ceanothus spinosus,,Alliance,Shrub,10/27/16
37.421.00,Quercus cedrosensis [pending],,Special Stands,Tree,11/7/16
63.550.00,Baccharis emoryi – Baccharis sergiloides,,Alliance,Shrub,11/21/16
32.046.00,Eriogonum wrightii – Eriogonum heermannii – Buddleja utahensis,,Alliance,Shrub,11/21/16
42.240.00,"Holocarpha (heermannii, virgata) [pending]",,Alliance,Herb,11/21/16
33.045.00,Senegalia greggii – Hyptis emoryi – Justicia californica,,Alliance,Shrub,11/22/16
37.323.00,"Arctostaphylos (canescens, manzanita, stanfordiana)",,Alliance,Shrub,12/1/16
45.570.00,"Juncus (effusus, patens) – Carex (pansa, praegracilis)",,Alliance,Herb,7/1/22
45.232.00,"Eleocharis (acicularis, macrostachya) [inactive]",,Alliance,Herb,12/1/16
42.027.00,Avena spp. – Bromus spp.,,Semi-Natural Alliance,Herb,12/1/16
41.151.00,Nassella spp. – Melica spp.,,Alliance,Herb,12/2/16
37.324.00,Arctostaphylos bakeri – Arctostaphylos montana – Arctostaphylos obispoensis,,Alliance,Shrub,8/30/21
42.220.00,Cynodon dactylon – Crypsis spp. – Paspalum spp.,,Semi-Natural Alliance,Herb,7/1/22
63.909.00,Gaultheria shallon – Rubus (ursinus),,Alliance,Shrub,8/30/21
63.910.00,Rubus spectabilis – Morella californica,,Alliance,Shrub,8/30/21
52.126.00,Ceratophyllum demersum Aquatic,Provisional,Alliance,Herb,12/14/16
41.081.00,Leymus cinereus – Leymus triticoides,,Alliance,Herb,12/14/16
32.051.00,Encelia californica – Eriogonum cinereum,,Alliance,Shrub,12/14/16
52.124.00,Nuphar spp. – Potamogeton spp. – Lemna spp. Freshwater Aquatic [inactive],Provisional,Alliance,Herb,1/12/17
52.125.00,Brasenia schreberi Aquatic [pending],Provisional,Alliance,Herb,1/12/17
63.311.00,Frangula californica – Rhododendron occidentale – Salix breweri,,Alliance,Shrub,1/13/17
61.514.00,Prosopis glandulosa – Prosopis velutina – Prosopis pubescens,,Alliance,Tree,1/24/17
61.555.00,Chilopsis linearis – Psorothamnus spinosus,,Alliance,Tree,1/25/17
33.315.00,Prunus fasciculata – Salazaria mexicana,,Alliance,Shrub,1/25/17
35.350.00,Chrysothamnus viscidiflorus,,Alliance,Shrub,1/25/17
42.012.00,Brassica tournefortii – Malcolmia africana,Provisional,Semi-natural Alliance,Herb,1/25/17
22.105.00,Dicoria canescens – Abronia villosa – Panicum urvilleanum,,Alliance,Herb,2/10/17
35.355.00,Ephedra viridis – Chrysothamnus viscidiflorus – Rhus trilobata [pending],Provisional,Alliance,Shrub,2/14/17
52.060.00,Sporobolus airoides – Muhlenbergia asperifolia – Spartina gracilis,,Alliance,Herb,8/8/18
33.185.00,Ephedra nevadensis – Lycium andersonii – Grayia spinosa,,Alliance,Shrub,2/22/17
52.070.00,"Equisetum (arvense, variegatum, hyemale)",,Alliance,Herb,2/22/17
42.205.00,Bidens cernua – Euthamia occidentalis – Ludwigia palustris,,Alliance,Herb,8/30/21
33.037.00,"Encelia (actonii, virginensis) – Viguiera reticulata",,Alliance,Shrub,2/27/17
52.127.00,Hydrilla verticillata – Myriophyllum spicatum,,Semi-Natural Alliance,Herb,2/28/17
52.128.00,"Schoenoplectus (acutus, californicus)",,Alliance,Herb,2/28/17
45.187.00,Carex amplifolia – Carex interior – Carex sheldonii [pending],Provisional,Alliance,Herb,3/21/17
35.331.00,Chrysothamnus albidus [inactive],Provisional,Alliance,Shrub,3/22/17
42.013.00,"Brassica nigra – Centaurea (solstitialis, melitensis)",,Semi-Natural Alliance,Herb,12/21/18
32.025.00,Salvia mellifera – (Artemisia californica),,Alliance,Shrub,2/27/25
32.015.00,Artemisia californica – (Salvia leucophylla),,Alliance,Shrub,12/21/18
37.070.00,Lotus scoparius – Lupinus albifrons – Eriodictyon spp.,,Alliance,Shrub,8/30/21
41.660.00,Aristida purpurea – Elymus elymoides – Poa secunda,,Alliance,Herb,3/18/19
42.015.00,Salsola tragus – Isatis tinctoria – Bassia spp. [pending],,Semi-Natural Alliance,Herb,3/18/19
37.970.00,Prunus emarginata – Holodiscus discolor,,Alliance,Shrub,3/19/19
71.045.00,Quercus lobata Riparian,,Alliance,Tree,8/30/21
79.400.00,Hesperocyparis macrocarpa – Pinus radiata,,Semi-Natural Alliance,Tree,8/30/21
61.217.00,Salix hookeriana – Salix sitchensis – Spiraea douglasii,,Alliance,Shrub,7/1/22
32.037.00,Eriogonum spp. / Poa secunda,,Alliance,Shrub,10/2/19
43.000.00,Navarretia leucocephala ssp. minima – Plagiobothrys cusickii,,Alliance,Herb,10/2/19
41.281.00,Danthonia californica – Deschampsia cespitosa – Camassia quamash,,Alliance,Herb,10/10/19
52.710.00,"Zostera (marina, pacifica) Pacific Aquatic",,Alliance,Herb,10/25/19
87.125.00,Pinus ponderosa / Shrub Understory,,Alliance,Tree,11/21/19
45.107.00,Poa pratensis – Agrostis gigantea – Agrostis stolonifera,,Semi-Natural Alliance,Herb,11/22/19
41.251.00,Festuca idahoensis – Danthonia californica,,Alliance,Herb,1/7/20
37.425.00,Quercus wislizeni – Quercus chrysolepis (shrub),,Alliance,Shrub,1/29/20
32.056.00,Hazardia squarrosa – Ericameria palmeri [pending],,Alliance,Shrub,1/29/20
21.310.00,Eriophyllum staechadifolium – Erigeron glaucus – Eriogonum latifolium,,Alliance,Herb,1/31/20
21.320.00,Artemisia pycnocephala [inactive],,Alliance,Herb,1/31/20
87.005.00,Pinus ponderosa – Calocedrus decurrens – Pseudotsuga menziesii,,Alliance,Tree,8/30/21
37.110.00,Adenostoma fasciculatum – Salvia spp.,,Alliance,Shrub,1/31/20
41.221.00,Deschampsia cespitosa – Hordeum brachyantherum – Danthonia californica,,Alliance,Herb,1/31/20
37.340.00,"Arctostaphylos (nummularia, sensitiva) – Chrysolepis chrysophylla",,Alliance,Shrub,8/30/21
32.220.00,Acacia spp. – Grevillea spp. – Leptospermum laevigatum,,Semi-natural Alliance,Shrub,7/1/22
81.450.00,"Hesperocyparis (pigmaea, abramsiana, macrocarpa, goveniana)",,Alliance,Tree,7/1/22
81.550.00,Hesperocyparis macnabiana – Hesperocyparis sargentii,,Alliance,Tree,8/30/21
61.460.00,Acer macrophyllum – Alnus rubra [inactive],,Alliance,Tree,2/13/20
45.188.00,"Carex (nudata, serratodens) [inactive]",,Alliance,Herb,2/24/20
41.289.00,Agastache urticifolia – Geranium viscosissimum – Pteridium aquilinum,,Alliance,Herb,2/27/25
81.609.00,Hesperocyparis forbesii – Hesperocyparis nevadensis,,Alliance,Tree,8/30/21
37.422.00,Quercus vacciniifolia – Chrysolepis sempervirens [pending],,,Shrub,9/21/20
37.217.00,Ceanothus cordulatus – Ceanothus integerrimus,,Alliance,Shrub,2/27/25
45.167.00,Carex lyngbyei,Provisional,Alliance,Herb,8/30/21
37.341.00,Arctostaphylos columbiana [pending],Provisional,Alliance,Shrub,3/2/21
82.250.00,Pseudotsuga menziesii – (Notholithocarpus densiflorus – Arbutus menziesii),,Alliance,Tree,2/27/25
61.121.00,Salix eastwoodiae – Salix lemmonii,,Alliance,Shrub,
45.403.00,Juncus drummondii – Juncus parryi – Sibbaldia procumbens [pending],,Alliance,Herb,
45.189.00,Carex obnupta – Oenanthe sarmentosa – Scirpus microcarpus,,Alliance,Herb,7/1/22
41.205.00,Deschampsia cespitosa – Festuca rubra Brackish Salt Marsh,Provisional,Alliance,Herb,7/1/22
45.192.00,Carex limosa – Carex simulata – Eleocharis quinqueflora,,Alliance,Herb,1/30/25
45.240.00,Carex utriculata – Calamagrostis canadensis,,Alliance,Herb,2/27/25
91.128.00,Phlox covillei – Ericameria discoidea [pending],,Alliance,Herb,
37.980.00,Salix scouleriana [pending],Provisional,Alliance,Shrub,9/22/21
45.427.00,Senecio triangularis – Veratrum californicum – Mimulus spp.,,Alliance,Herb,2/27/25
41.640.00,Elymus glaucus [inactive],,Alliance,,9/1/09
52.216.00,Grindelia (stricta) [inactive],Provisional, Alliance,Herb,7/1/22
44.112.00,Mimulus guttatus – Cirsium spp. – Stachys spp.,,Alliance,Herb,2/27/25
37.965.00,Ribes quercetorum – Rhus trilobata – Frangula californica,,Alliance,Shrub,2/27/25
63.312.00,Cephalanthus occidentalis – Rosa californica [pending],,Alliance,Shrub,11/28/22
52.129.00,Ranunculus aquatilis – Callitriche palustris – Callitriche heterophylla [pending],Provisional,Alliance,Herb,
41.201.00,Distichlis spicata – (Juncus cooperi – Frankenia salina) Interior,,Alliance,Herb,2/27/25
41.202.00,Distichlis spicata – Frankenia salina Coastal,,Alliance,Herb,2/27/25
80.100.00,Cornus sericea [inactive],,Alliance,,9/1/09
71.040.00,Quercus lobata [inactive],,Alliance,Tree,11/1/95
61.125.00,Populus angustifolia – Populus trichocarpa [pending],,,Tree,
61.470.00,Populus trichocarpa – Alnus rubra – Fraxinus latifolia [pending],,Alliance,Tree,1/9/25
62.100.00,Tsuga heterophylla – Picea sitchensis / Lysichiton americanus [pending],,,Tree,1/9/25
45.195.00,Carex pansa – Juncus falcatus Interdunal [pending],,,Herb,1/16/25
37.218.00,Ceanothus oliganthus – Ceanothus leucodermis – Ceanothus tomentosus [pending],,Alliance,Shrub,7/2/25
41.261.00,Arctostaphylos uva-ursi – Vaccinium ovatum Sand Dune,,,,
21.120.00,Leymus mollis – Festuca rubra [pending],,Alliance,,8/7/25
37.325.00,"Arctostaphylos (hooveri, luciana) [pending]",,Alliance,Shrub,10/2/25
42.035.00,Ehrharta calycina [pending],Provisional,Semi-Natural Alliance,Herb,11/3/25
83.400.00,Alnus rubra – Acer macrophyllum [pending],,Alliance,,11/13/25
45.428.00,Trifolium longipes – Muhlenbergia filiformis,,Alliance,Herb,
88.540.00,Abies concolor – Pinus ponderosa [pending],Provisional,Alliance,,1/15/26
33.335.00,Eriogonum ovalifolium – Fallugia paradoxa – Andropogon hallii [pending],,,"Shrub, Herb",1/29/26
91.129.00,Polygonum davisiae – Eriogonum marifolium – Arenaria pumicola [pending],,Alliance,,3/6/26