ContactRole,role_name
advisor,Research advisor
an author of classification report,Author
an author of report,Author
an author of the vegetation classification,Author
an author on report and collector of data,Author
"an author on the report, managed the accuracy assessment fieldwork",Author
analyzed the plots for the project. was the contractor's project lead,Data aggregator
assisted with classification,Classifier
associate vegetation ecologist,Plot author
"associate wildlife biologist, land program - north, eastern sierra - inland deserts region",Plot author
author of dataset,Author
author on report,Author
biological science technician (botany),Field assistant
"botanist, primary nps contact for project",Contact
california native plant program,Not specified
classification,Classifier
classification lead for the project.,Classifier
classifier,Classifier
classifier and writer of descriptions,Classifier
cnps vegetation program,System manager
"co-pi, and botany authority",Co-PI
collected additional data for the project and managed data entry for their surveys,System manager
collected and analyzed data for masters thesis,Author
collector of majority of deer creek hills data,Field assistant
consultant,Consultant
"contractor, surveyor, and classification lead",Classifier
"cooperator, and field lead",Field assistant
"data contact, environmental scientist",Contact
data coordinator,Data Manager
data management,Data Manager
data manager,Data Manager
data processor,Data Manager
"data steward, gis specialist",Data Manager
"ecologist, completed field sampling and classification",Classifier
"ecologist, yosemite field station",Plot author
environmental scientist / vegetation ecologist,Plot author
environmental scientist/ vegetation ecologist,Plot author
environmental scientist/vegetation ecologist,Plot author
field coordinator and data collector,Field assistant
field lead,Field assistant
field lead and data entry person,Field assistant
field manager for cnps at the time of rapid assessments,Field assistant
field manager for nps during accuracy assessment,Field assistant
field staff and mapper,Field assistant
"field survey coordinator, and project lead for cnps (now works for cdfw)",System manager
first author on the vegetation classification,Author
funder,System manager
"funding agency, land access, private land contacts",Land owner
gic used these surveys and classification of them to map the area.,Data aggregator
gis analyst,Data aggregator
gis analyst and lead photointerpreter,Classifier
helped review the classification,Classifier
land resources manager,System manager
lead author of dataset,Author
lead author of report,Author
lead author on classification report,Author
lead author on report,Author
lead biologist for vegcamp,Plot author
lead biologist interpreter,Field assistant
lead ecologist,Plot author
managed field crew and database entry for the project,System manager
NA,Not specified/Unknown
obtained data,Field assistant
obtained data for cnps,Data aggregator
one of the principal investigators on the project,PI
"oversaw fieldwork, lead author",Author
planning,Not specified
plot author,Plot author
"previously botanist at deva, now with usfs in bishop, ca",Research advisor
primary author,Author
primary classifier,Classifier
primary data collector,Plot author
primary field ecologist for 2013 sierra nevada forests,Plot author
primary field ecologist for northern forests,Plot author
primary mapper and one of the principal investigators on the project,PI
primary surveyor,Field assistant
principal investigator,PI
principal investigator/author,PI
prinicpal contact for aecom,Contact
processed data,Data aggregator
program director,System manager
program lead,System manager
project contact,Contact
project ecologist,Plot author
"project ecologist, trainer, cnps vegetation lead",Plot author
project lead,System manager
project lead and co-classifier (aecom 2013),PI
project management,System manager
project manager,System manager
"project manager, including mainting sub-contract with prunske-chattam for surveying",System manager
project steward,System manager
provided student workers,Field assistant
receiver of data,Data aggregator
regional biologist who helped with field effort,Field assistant
regional biologist who met with us on reviving project,Research advisor
regional lead,System manager
research advisor,Research advisor
restoration ecologist,Plot author
reviewed classification for aa,Classifier
senior biological consultant,Consultant
senior biologist,Research advisor
"senior biologist during the time of the project. cdfw performed ras and releves, and classified them",Classifier
senior environmental scientist,Research advisor
senior scientist,PI
sfan i & m natural resource specialist,Research advisor
subcontractor who performed many of the surveys and helped classify the data (aecom 2013),Classifier
"survey lead for project, working for cnps at the time",Plot author
surveyor,Field assistant
vegcamp co-lead,Plot author
vegcamp lead,Plot author
vegcamp lead biologist,Plot author
"vegcamp program lead, project photointerpreter",Classifier
vegcamp project manager,System manager
vegetation classification and co-author,Author
vegetation ecologist,Plot author
"vegetation ecologist; data collection, supervision of vegetation mapping",Plot author
vegetation program director,System manager
vegetation program lead,System manager
vegetation program lead and primary investigator,PI
vegetation program lead for cnps,System manager
wildland vegetation program manager,System manager